,SPY_ret,SPY_logret,SPY_sq_ret,SPY_abs_ret,QQQ_ret,QQQ_logret,QQQ_sq_ret,QQQ_abs_ret,TLT_ret,TLT_logret,TLT_sq_ret,TLT_abs_ret,GLD_ret,GLD_logret,GLD_sq_ret,GLD_abs_ret,USO_ret,USO_logret,USO_sq_ret,USO_abs_ret
2006-01-03,,,,,,,,,,,,,,,,,,,,
2006-01-04,0.004735611814878915,0.0047244340802984385,2.242601926122077e-05,0.004735611814878915,0.010409324041187773,0.010355520080833324,0.00010835402699444975,0.010409324041187773,0.002396989165446284,0.002394120969358928,5.745557059266872e-06,0.002396989165446284,0.0033885600300291863,0.003382831797150453,1.14823390771114e-05,0.0033885600300291863,0.0,0.0,0.0,0.0
2006-01-05,0.0006281537516497071,0.0006279565456613175,3.945771357116019e-07,0.0006281537516497071,0.004311864026546264,0.004302594577039359,1.859217138342376e-05,0.004311864026546264,-0.001195827461475174,-0.0011965430336581125,1.4300033176181589e-06,0.001195827461475174,-0.018011240116588056,-0.018175416840417152,0.0003244047705373909,0.018011240116588056,0.0,0.0,0.0,0.0
2006-01-06,0.008321628444750262,0.00828719459335327,6.924949997247667e-05,0.008321628444750262,0.018129995220254713,0.017967606655818435,0.00032869672668645874,0.018129995220254713,-0.001850222789401279,-0.001851936565824875,3.4233243704198497e-06,0.001850222789401279,0.02636608834719323,0.02602449436115473,0.0006951706147319985,0.02636608834719323,0.0,0.0,0.0,0.0
2006-01-09,0.0025695530626461682,0.002566257405545259,6.602602941754303e-06,0.0025695530626461682,0.003983057456116601,0.003975146083443736,1.586474669872605e-05,0.003983057456116601,0.0006545727694378112,0.0006543586301239801,4.2846551048948593e-07,0.0006545727694378112,0.016381184538745375,0.016248460425883546,0.00026834320689243053,0.016381184538745375,0.0,0.0,0.0,0.0
2006-01-10,0.0010094315715578617,0.0010089224381038154,1.0189520976577743e-06,0.0010094315715578617,0.0006999935463807283,0.0006997486651684229,4.899909649746689e-07,0.0006999935463807283,-0.008063107138154502,-0.008095789787540057,6.501369672135808e-05,0.008063107138154502,-0.009890057068152047,-0.009939288552968072,9.781322881130426e-05,0.009890057068152047,0.0,0.0,0.0,0.0
2006-01-11,0.0031806533527447556,0.0031756057751006718,1.0116555750326455e-05,0.0031806533527447556,0.007695584738479422,0.007666124770833382,5.922202446711739e-05,0.007695584738479422,-0.0016478110276458846,-0.0016491701615063469,2.7152811828313863e-06,0.0016478110276458846,0.008693995450730352,0.008656420300679483,7.558555689732005e-05,0.008693995450730352,0.0,0.0,0.0,0.0
2006-01-12,-0.003943792429987547,-0.003951589686612415,1.555349873082708e-05,0.003943792429987547,-0.004859960535954055,-0.004871808546990747,2.3619216411030828e-05,0.004859960535954055,0.0067110210094771805,0.006688602353469522,4.5037802989644113e-05,0.0067110210094771805,-0.0018338249836724607,-0.0018355084992045636,3.362914070741301e-06,0.0018338249836724607,0.0,0.0,0.0,0.0
2006-01-13,-0.0009322494384462754,-0.0009326842532122358,8.690890154833958e-07,0.0009322494384462754,-0.0004651385561216248,-0.0004652467666163701,2.163538763909099e-07,0.0004651385561216248,0.005792833295583666,0.005776119353113303,3.3556917590422714e-05,0.005792833295583666,0.018555912472356884,0.018385852058020367,0.00034432188768176975,0.018555912472356884,0.0,0.0,0.0,0.0
2006-01-17,-0.002719317150400191,-0.002723021209814513,7.394685764460616e-06,0.002719317150400191,-0.0065140346580861985,-0.006535343570252722,4.243264752674818e-05,0.0065140346580861985,0.004455449282908086,0.004445553152335772,1.985102831256618e-05,0.004455449282908086,-0.0032467588317914853,-0.0032520409896078756,1.054144291181601e-05,0.0032467588317914853,0.0,0.0,0.0,0.0
